id;reference-date;status;status-prev;status-after;counterparty-type;economic-sector-code;geographic-area;balance;limit-balance
85;2019-01-01;1;0;0;retail-type-2;5928;north-west;13.51; -   
86;2019-01-01;1;0;0;retail-type-2;7678;missing;21.47; -   
87;2019-01-01;1;0;0;retail-type-2;5928;east-coast;41.07; -   
88;2019-01-01;1;0;0;retail-no-loan;5928;west-coast; 4.490.09 ; 4.250.00 
89;2019-01-01;1;0;0;retail-type-2;5928;south;336.36; -   
90;2019-01-01;1;0;0;retail-type-2;5928;south;14.53; -   
91;2019-01-01;1;0;0;retail-type-2;5928;west-coast;50.58; -   
92;2019-01-01;1;0;0;corporate-type-2;4228;south;95.07; -   
93;2019-01-01;1;0;0;retail-type-2;5928;east-coast;23.43; -   
94;2019-01-01;2;0;0;retail-no-loan;5928;mid-west; 3.096.75 ; 3.000.00 
95;2019-01-01;1;0;0;retail-type-2;7678;missing;5.67; -   
96;2019-01-01;1;0;0;retail-type-2;6068;south;8.54; -   
97;2019-01-01;1;0;0;retail-type-2;5928;north-est;16.69; -   
98;2019-01-01;1;0;0;retail-type-2;5928;north-est;29.30; -   
99;2019-01-01;1;0;0;retail-type-2;5928;north-west;38.02; -   
100;2019-01-01;1;0;0;corporate-type-2;4848;north-west;86.03; -   
101;2019-01-01;1;0;0;corporate-type-2;6078;mid-west;183.03; -   
102;2019-01-01;1;0;0;retail-type-2;5928;south;14.80; -   
103;2019-01-01;1;0;0;retail-type-2;5928;west-coast;21.64; -   
104;2019-01-01;1;0;0;retail-type-2;5928;mid-west;23.68; -   
105;2019-01-01;1;0;0;retail-type-2;5928;north-west;35.35; -   
106;2019-01-01;1;0;0;retail-type-2;5928;east-coast;60.95; -   
107;2019-01-01;1;0;0;retail-type-2;5928;north-est;63.01; -   
108;2019-01-01;1;0;0;retail-type-2;5928;mid-west;13.42; -   
109;2019-01-01;1;0;0;retail-no-loan;5928;west-coast; 4.195.26 ; 4.000.00 
110;2019-01-01;1;0;0;retail-type-2;5928;north-west;21.86; -   
111;2019-01-01;1;0;0;retail-type-2;5928;north-est;12.25; -   
112;2019-01-01;1;0;0;corporate-type-2;6078;south;54.23; -   
113;2019-01-01;1;0;0;retail-type-2;5928;east-coast;38.77; -   
114;2019-01-01;1;0;0;retail-type-2;5928;north-est;24.04; -   
115;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;156.90; -   
116;2019-01-01;1;0;0;corporate-type-2;6068;south;87.63; -   
117;2019-01-01;1;0;0;retail-type-2;5928;west-coast;31.30; -   
118;2019-01-01;1;0;0;corporate-type-2;6068;south;56.00; -   
119;2019-01-01;1;0;0;corporate-type-2;4228;east-coast;181.85; -   
120;2019-01-01;1;0;0;corporate-type-2;6078;mid-west;182.22; -   
121;2019-01-01;1;0;0;retail-type-2;5928;north-west;56.10; -   
122;2019-01-01;1;0;0;retail-type-2;5928;south;74.02; -   
123;2019-01-01;1;0;0;retail-type-2;5928;west-coast;51.70; -   
124;2019-01-01;1;0;0;retail-type-2;5928;north-est;11.32; -   
125;2019-01-01;1;0;0;retail-type-2;5928;north-west;6.00; -   
126;2019-01-01;1;0;0;retail-type-2;5928;south;15.00; -   
127;2019-01-01;1;0;0;retail-type-2;5928;mid-west;46.44; -   
128;2019-01-01;1;0;0;retail-type-2;5928;north-est;33.24; -   
129;2019-01-01;1;0;0;retail-type-2;5928;south;32.93; -   
130;2019-01-01;1;0;0;retail-type-2;5928;north-est;135.28; -   
131;2019-01-01;1;0;0;retail-type-2;5928;north-west;33.78; -   
132;2019-01-01;1;0;0;retail-type-2;5928;south;162.31; -   
133;2019-01-01;1;0;0;corporate-type-2;4228;west-coast;104.61; -   
134;2019-01-01;1;0;0;retail-type-2;5928;east-coast;14.95; -   
135;2019-01-01;1;0;0;retail-type-2;5928;south;18.08; -   
136;2019-01-01;1;0;0;corporate-type-2;6068;west-coast;20.25; -   
137;2019-01-01;1;0;0;retail-type-2;5928;east-coast;2.70; -   
138;2019-01-01;1;0;0;retail-no-loan;5928;mid-west;944.72;838.45
139;2019-01-01;1;0;0;retail-type-2;5928;south;167.94; -   
140;2019-01-01;1;0;0;retail-type-2;5928;west-coast;28.15; -   
141;2019-01-01;1;0;0;corporate-type-2;4228;north-est;242.52; -   
142;2019-01-01;1;0;0;corporate-type-2;6078;west-coast;59.78; -   
143;2019-01-01;1;0;0;corporate;2808;south;184.17; -   
144;2019-01-01;1;0;0;retail-type-2;5928;west-coast;56.21; -   
145;2019-01-01;1;0;0;retail-type-2;5928;north-west;8.45; -   
146;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;82.30; -   
147;2019-01-01;1;0;0;retail-type-2;5928;mid-west;77.10; -   
148;2019-01-01;1;0;0;corporate-type-2;6078;west-coast;46.19; -   
149;2019-01-01;1;0;0;corporate-type-2;4848;north-west;147.02; -   
150;2019-01-01;1;0;0;corporate-type-2;6078;east-coast;58.21; -   
151;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;228.34; -   
152;2019-01-01;1;0;0;corporate-type-2;6068;north-west;58.48; -   
153;2019-01-01;1;0;0;corporate-type-2;4728;north-est;84.15; -   
154;2019-01-01;1;0;0;corporate-type-2;6078;south;44.67; -   
155;2019-01-01;1;0;0;retail-type-2;5928;north-west;134.02; -   
156;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;89.89; -   
157;2019-01-01;1;0;0;corporate-type-2;6078;north-west;24.74; -   
158;2019-01-01;1;0;0;corporate-type-2;6078;south;52.81; -   
159;2019-01-01;1;0;0;retail-type-2;5928;south;68.40; -   
160;2019-01-01;1;0;0;corporate-type-2;4848;west-coast;75.58; -   
161;2019-01-01;1;0;0;retail-type-2;5928;west-coast;14.75; -   
